,feature,importance,fold
0,cos_c0_c1,3798.0,1
1,adC2,3932.0,1
2,cos_c1,4052.0,1
3,linkM0,4655.5,1
4,dist_O_0_x,4837.0,1
5,cos_c0,3899.0,1
6,adC3,4127.0,1
7,adC4,4140.0,1
8,mulliken_atom_0,4238.0,1
9,dist_C_4_x,4969.0,1
10,cos_f0,3763.5,1
11,adH1,3849.5,1
12,bond_angle_axis,4661.5,1
13,dist_H_4_x,4726.5,1
14,cos_c0_f0,3768.0,1
15,bond_angle_plane,4457.5,1
16,dist_O_0_y,5174.5,1
17,gap,3821.5,1
18,dist_H_3_x,4190.0,1
19,dist_C_3_x,4271.5,1
20,dist_C_4_y,5253.5,1
21,cos_f0_f1,3872.5,1
22,dist_H_2_x,3872.5,1
23,dist_C_3_y,4757.0,1
24,mu,4519.0,1
25,dist_N_0_x,4108.0,1
26,rc_A,4380.5,1
27,cos_f1,3402.0,1
28,mulliken_max,4366.5,1
29,lumo,3479.5,1
30,distance_center1,3695.0,1
31,distance_center0,3453.0,1
32,cos_center0_center1,3448.0,1
33,mulliken_atom_1,4224.0,1
34,max_molecule_atom_0_dist_xyz,3198.5,1
35,molecule_atom_index_0_dist_y_min,4546.5,1
36,dist_C_2_x,3885.0,1
37,homo,4163.0,1
38,molecule_atom_index_0_dist_x_min,4391.0,1
39,dist_H_1_x,3192.5,1
40,molecule_type_0_dist_z_min_div,4222.0,1
41,mean_molecule_atom_0_dist_xyz,3602.5,1
42,cos_center0,3557.0,1
43,molecule_type_0_dist_y_min_div,4657.5,1
44,cos_c1_f1,3775.0,1
45,inv_distPR,3784.0,1
46,molecule_type_0_dist_x_min,3998.0,1
47,inv_dist0,3229.5,1
48,roundness_metric,4223.5,1
49,sd_molecule_atom_0_dist_xyz,3333.5,1
50,vander_H.x,2583.0,1
51,z_farthest_0,4297.5,1
52,molecule_type_0_dist_x_min_div,4118.0,1
53,molecule_type_0_dist_z_min,4054.5,1
54,molecule_atom_index_0_z_1_mean_div,4453.0,1
55,molecule_atom_index_0_dist_x_min_div,3849.0,1
56,yukawa_H.x,2625.0,1
57,dist_H_0_x,3020.0,1
58,molecule_atom_index_0_dist_z_min,4056.5,1
59,vander_C.y,3662.0,1
60,molecule_atom_index_0_dist_max_diff,2671.5,1
61,molecule_atom_index_0_dist_max_div,2902.5,1
62,molecule_type_dist_std_diff,5388.0,1
63,molecule_atom_index_0_dist_z_min_div,3783.0,1
64,type,0.0,1
0,cos_c0_c1,3992.0,2
1,adC2,4020.0,2
2,cos_c1,3960.0,2
3,linkM0,4543.0,2
4,dist_O_0_x,4906.0,2
5,cos_c0,3848.0,2
6,adC3,4103.0,2
7,adC4,3955.0,2
8,mulliken_atom_0,3959.0,2
9,dist_C_4_x,5040.0,2
10,cos_f0,3828.0,2
11,adH1,3943.0,2
12,bond_angle_axis,4563.5,2
13,dist_H_4_x,4716.5,2
14,cos_c0_f0,3856.0,2
15,bond_angle_plane,4405.0,2
16,dist_O_0_y,5099.5,2
17,gap,3914.0,2
18,dist_H_3_x,4222.0,2
19,dist_C_3_x,4333.5,2
20,dist_C_4_y,5345.0,2
21,cos_f0_f1,3711.0,2
22,dist_H_2_x,3798.0,2
23,dist_C_3_y,4836.0,2
24,mu,4625.5,2
25,dist_N_0_x,3903.0,2
26,rc_A,4421.0,2
27,cos_f1,3319.0,2
28,mulliken_max,4354.5,2
29,lumo,3570.5,2
30,distance_center1,3727.5,2
31,distance_center0,3512.5,2
32,cos_center0_center1,3399.0,2
33,mulliken_atom_1,4077.0,2
34,max_molecule_atom_0_dist_xyz,3148.5,2
35,molecule_atom_index_0_dist_y_min,4574.0,2
36,dist_C_2_x,3794.5,2
37,homo,4001.0,2
38,molecule_atom_index_0_dist_x_min,4443.0,2
39,dist_H_1_x,3374.0,2
40,molecule_type_0_dist_z_min_div,4195.5,2
41,mean_molecule_atom_0_dist_xyz,3577.5,2
42,cos_center0,3652.5,2
43,molecule_type_0_dist_y_min_div,4626.5,2
44,cos_c1_f1,3782.0,2
45,inv_distPR,3570.5,2
46,molecule_type_0_dist_x_min,3970.0,2
47,inv_dist0,3337.5,2
48,roundness_metric,4238.5,2
49,sd_molecule_atom_0_dist_xyz,3194.0,2
50,vander_H.x,2445.0,2
51,z_farthest_0,4261.5,2
52,molecule_type_0_dist_x_min_div,4237.5,2
53,molecule_type_0_dist_z_min,4077.0,2
54,molecule_atom_index_0_z_1_mean_div,4378.5,2
55,molecule_atom_index_0_dist_x_min_div,3825.0,2
56,yukawa_H.x,2492.0,2
57,dist_H_0_x,2984.5,2
58,molecule_atom_index_0_dist_z_min,4241.5,2
59,vander_C.y,3599.0,2
60,molecule_atom_index_0_dist_max_diff,2671.5,2
61,molecule_atom_index_0_dist_max_div,2897.5,2
62,molecule_type_dist_std_diff,5305.5,2
63,molecule_atom_index_0_dist_z_min_div,3777.0,2
64,type,0.0,2
