,feature,importance,fold
0,type,0.0,1
1,inv_dist0,501.5,1
2,inv_dist1,419.5,1
3,inv_distP,364.0,1
4,inv_dist0R,1145.0,1
5,inv_dist1R,724.0,1
6,inv_distPR,820.0,1
7,inv_dist0E,503.0,1
8,inv_dist1E,448.0,1
9,inv_distPE,371.0,1
10,linkM0,849.5,1
11,linkM1,767.0,1
12,min_molecule_atom_0_dist_xyz,950.5,1
13,mean_molecule_atom_0_dist_xyz,782.5,1
14,max_molecule_atom_0_dist_xyz,1029.5,1
15,sd_molecule_atom_0_dist_xyz,554.5,1
16,min_molecule_atom_1_dist_xyz,1118.5,1
17,mean_molecule_atom_1_dist_xyz,352.5,1
18,max_molecule_atom_1_dist_xyz,722.0,1
19,sd_molecule_atom_1_dist_xyz,460.5,1
20,coulomb_C.x,257.5,1
21,coulomb_F.x,4.0,1
22,coulomb_H.x,151.5,1
23,coulomb_N.x,239.0,1
24,coulomb_O.x,522.5,1
25,yukawa_C.x,510.0,1
26,yukawa_F.x,27.5,1
27,yukawa_H.x,477.5,1
28,yukawa_N.x,413.5,1
29,yukawa_O.x,893.5,1
30,vander_C.x,445.0,1
31,vander_F.x,11.5,1
32,vander_H.x,606.5,1
33,vander_N.x,276.5,1
34,vander_O.x,730.5,1
35,coulomb_C.y,306.5,1
36,coulomb_F.y,10.0,1
37,coulomb_H.y,188.0,1
38,coulomb_N.y,298.0,1
39,coulomb_O.y,546.0,1
40,yukawa_C.y,633.5,1
41,yukawa_F.y,14.5,1
42,yukawa_H.y,359.5,1
43,yukawa_N.y,457.0,1
44,yukawa_O.y,782.5,1
45,vander_C.y,901.0,1
46,vander_F.y,13.5,1
47,vander_H.y,257.5,1
48,vander_N.y,596.0,1
49,vander_O.y,885.5,1
50,distC0,1071.0,1
51,distH0,0.0,1
52,distN0,0.0,1
53,distC1,507.5,1
54,distH1,0.0,1
55,distN1,0.0,1
56,adH1,1342.0,1
57,adH2,617.5,1
58,adH3,226.0,1
59,adH4,63.0,1
60,adC1,1223.5,1
61,adC2,2602.0,1
62,adC3,2528.5,1
63,adC4,1859.5,1
64,adN1,1478.5,1
65,adN2,342.5,1
66,adN3,33.5,1
67,adN4,4.5,1
68,NC,13.0,1
69,NH,15.5,1
70,NN,7.5,1
71,NF,2.0,1
72,NO,13.0,1
73,atom_index_0,114.5,1
74,atom_index_1,210.0,1
75,atom_0,0.0,1
76,x_0,277.5,1
77,y_0,351.0,1
78,z_0,299.5,1
79,dist_C_0_x,322.5,1
80,dist_C_1_x,320.5,1
81,dist_C_2_x,387.5,1
82,dist_C_3_x,394.5,1
83,dist_C_4_x,389.5,1
84,dist_F_0_x,7.5,1
85,dist_F_1_x,2.5,1
86,dist_F_2_x,4.0,1
87,dist_F_3_x,0.0,1
88,dist_F_4_x,0.0,1
89,dist_H_0_x,815.0,1
90,dist_H_1_x,618.5,1
91,dist_H_2_x,498.0,1
92,dist_H_3_x,467.5,1
93,dist_H_4_x,471.5,1
94,dist_N_0_x,294.0,1
95,dist_N_1_x,126.5,1
96,dist_N_2_x,49.5,1
97,dist_N_3_x,6.0,1
98,dist_N_4_x,1.5,1
99,dist_O_0_x,490.0,1
100,dist_O_1_x,386.5,1
101,dist_O_2_x,111.0,1
102,dist_O_3_x,6.0,1
103,dist_O_4_x,0.0,1
104,atom_1,0.0,1
105,x_1,105.5,1
106,y_1,118.0,1
107,z_1,107.5,1
108,dist_C_0_y,589.0,1
109,dist_C_1_y,331.0,1
110,dist_C_2_y,419.0,1
111,dist_C_3_y,476.5,1
112,dist_C_4_y,472.0,1
113,dist_F_0_y,9.5,1
114,dist_F_1_y,5.0,1
115,dist_F_2_y,1.5,1
116,dist_F_3_y,0.0,1
117,dist_F_4_y,0.0,1
118,dist_H_0_y,347.0,1
119,dist_H_1_y,388.5,1
120,dist_H_2_y,400.5,1
121,dist_H_3_y,394.0,1
122,dist_H_4_y,405.5,1
123,dist_N_0_y,272.5,1
124,dist_N_1_y,141.5,1
125,dist_N_2_y,43.5,1
126,dist_N_3_y,14.0,1
127,dist_N_4_y,1.5,1
128,dist_O_0_y,413.0,1
129,dist_O_1_y,380.0,1
130,dist_O_2_y,114.5,1
131,dist_O_3_y,11.0,1
132,dist_O_4_y,0.0,1
133,c_x,137.0,1
134,c_y,111.0,1
135,c_z,141.0,1
136,dist,503.5,1
137,dist_x,53.0,1
138,dist_y,61.5,1
139,dist_z,56.5,1
140,type_0,0.0,1
141,molecule_couples,129.5,1
142,molecule_dist_mean,549.0,1
143,molecule_dist_min,497.0,1
144,molecule_dist_max,392.0,1
145,molecule_dist_std,281.0,1
146,atom_0_couples_count,100.0,1
147,atom_1_couples_count,115.0,1
148,molecule_atom_index_0_count,43.5,1
149,molecule_atom_index_1_count,20.5,1
150,molecule_type_count,8.5,1
151,molecule_atom_1_count,0.0,1
152,molecule_type_0_count,1.5,1
153,molecule_atom_index_0_x_1_mean,186.0,1
154,molecule_atom_index_0_x_1_mean_diff,254.0,1
155,molecule_atom_index_0_x_1_mean_div,271.0,1
156,molecule_atom_index_0_x_1_max,227.0,1
157,molecule_atom_index_0_x_1_max_diff,188.0,1
158,molecule_atom_index_0_x_1_max_div,160.5,1
159,molecule_atom_index_0_x_1_std,285.5,1
160,molecule_atom_index_0_x_1_std_diff,135.0,1
161,molecule_atom_index_0_x_1_std_div,135.5,1
162,molecule_atom_index_0_x_1_min,189.0,1
163,molecule_atom_index_0_x_1_min_diff,217.5,1
164,molecule_atom_index_0_x_1_min_div,178.5,1
165,molecule_atom_index_0_y_1_mean,203.0,1
166,molecule_atom_index_0_y_1_mean_diff,288.0,1
167,molecule_atom_index_0_y_1_mean_div,290.5,1
168,molecule_atom_index_0_y_1_max,216.5,1
169,molecule_atom_index_0_y_1_max_diff,263.5,1
170,molecule_atom_index_0_y_1_max_div,269.5,1
171,molecule_atom_index_0_y_1_std,377.0,1
172,molecule_atom_index_0_y_1_std_diff,155.5,1
173,molecule_atom_index_0_y_1_std_div,182.5,1
174,molecule_atom_index_0_y_1_min,221.5,1
175,molecule_atom_index_0_y_1_min_diff,222.5,1
176,molecule_atom_index_0_y_1_min_div,195.5,1
177,molecule_atom_index_0_z_1_mean,196.5,1
178,molecule_atom_index_0_z_1_mean_diff,215.5,1
179,molecule_atom_index_0_z_1_mean_div,265.0,1
180,molecule_atom_index_0_z_1_max,189.5,1
181,molecule_atom_index_0_z_1_max_diff,194.0,1
182,molecule_atom_index_0_z_1_max_div,151.5,1
183,molecule_atom_index_0_z_1_std,317.0,1
184,molecule_atom_index_0_z_1_std_diff,161.5,1
185,molecule_atom_index_0_z_1_std_div,119.0,1
186,molecule_atom_index_0_z_1_min,231.5,1
187,molecule_atom_index_0_z_1_min_diff,207.0,1
188,molecule_atom_index_0_z_1_min_div,153.5,1
189,molecule_atom_index_0_dist_mean,313.5,1
190,molecule_atom_index_0_dist_mean_diff,557.0,1
191,molecule_atom_index_0_dist_mean_div,584.0,1
192,molecule_atom_index_0_dist_max,465.5,1
193,molecule_atom_index_0_dist_max_diff,532.0,1
194,molecule_atom_index_0_dist_max_div,447.0,1
195,molecule_atom_index_0_dist_std,250.0,1
196,molecule_atom_index_0_dist_std_diff,837.0,1
197,molecule_atom_index_0_dist_std_div,629.0,1
198,molecule_atom_index_0_dist_min,367.0,1
199,molecule_atom_index_0_dist_min_diff,626.5,1
200,molecule_atom_index_0_dist_min_div,828.0,1
201,molecule_atom_index_0_dist_x_mean,195.0,1
202,molecule_atom_index_0_dist_x_mean_diff,195.0,1
203,molecule_atom_index_0_dist_x_mean_div,193.0,1
204,molecule_atom_index_0_dist_x_max,193.5,1
205,molecule_atom_index_0_dist_x_max_diff,199.0,1
206,molecule_atom_index_0_dist_x_max_div,78.5,1
207,molecule_atom_index_0_dist_x_std,185.5,1
208,molecule_atom_index_0_dist_x_std_diff,149.5,1
209,molecule_atom_index_0_dist_x_std_div,166.0,1
210,molecule_atom_index_0_dist_x_min,237.0,1
211,molecule_atom_index_0_dist_x_min_diff,111.5,1
212,molecule_atom_index_0_dist_x_min_div,254.5,1
213,molecule_atom_index_0_dist_y_mean,244.5,1
214,molecule_atom_index_0_dist_y_mean_diff,201.0,1
215,molecule_atom_index_0_dist_y_mean_div,213.5,1
216,molecule_atom_index_0_dist_y_max,241.0,1
217,molecule_atom_index_0_dist_y_max_diff,224.5,1
218,molecule_atom_index_0_dist_y_max_div,108.0,1
219,molecule_atom_index_0_dist_y_std,240.0,1
220,molecule_atom_index_0_dist_y_std_diff,171.5,1
221,molecule_atom_index_0_dist_y_std_div,227.0,1
222,molecule_atom_index_0_dist_y_min,242.0,1
223,molecule_atom_index_0_dist_y_min_diff,95.5,1
224,molecule_atom_index_0_dist_y_min_div,259.0,1
225,molecule_atom_index_0_dist_z_mean,209.0,1
226,molecule_atom_index_0_dist_z_mean_diff,186.0,1
227,molecule_atom_index_0_dist_z_mean_div,195.0,1
228,molecule_atom_index_0_dist_z_max,202.0,1
229,molecule_atom_index_0_dist_z_max_diff,201.5,1
230,molecule_atom_index_0_dist_z_max_div,91.0,1
231,molecule_atom_index_0_dist_z_std,181.0,1
232,molecule_atom_index_0_dist_z_std_diff,160.0,1
233,molecule_atom_index_0_dist_z_std_div,175.0,1
234,molecule_atom_index_0_dist_z_min,222.5,1
235,molecule_atom_index_0_dist_z_min_diff,127.5,1
