,feature,importance,fold
0,mulliken_atom_0,517.0,1
1,adC2,473.375,1
2,dist_O_0_x,244.5,1
3,mu,234.625,1
4,adC1,445.125,1
5,bond_angle_axis,273.0,1
6,dist_C_3_y,197.875,1
7,linkM0,419.125,1
8,dist_C_4_y,222.0,1
9,dist_O_0_y,201.75,1
10,dist_C_3_x,227.375,1
11,adC3,509.875,1
12,dist_C_4_x,229.0,1
13,inv_dist1R,528.0,1
14,bond_angle_plane,321.0,1
15,homo,234.25,1
16,mulliken_max,251.125,1
17,dist_H_4_x,246.0,1
18,lumo,212.375,1
19,gap,242.375,1
20,molecule_type_0_dist_x_std,176.5,1
21,dist_H_1_x,293.125,1
22,freqs_min,209.0,1
23,dist_N_0_y,248.25,1
24,dist_H_3_x,248.0,1
25,distance_center0,249.0,1
26,cos_c0_f0,425.25,1
27,adH1,375.625,1
28,rc_A,256.0,1
29,mulliken_atom_1,406.25,1
30,molecule_type_0_dist_x_max,206.125,1
31,molecule_dist_max,210.0,1
32,alpha,167.0,1
33,dist_C_2_y,215.25,1
34,dist_H_2_x,256.0,1
35,vander_C.y,407.875,1
36,roundness_metric,169.625,1
37,dist_C_2_x,207.625,1
38,freqs_max,251.75,1
39,min_molecule_atom_1_dist_xyz,513.0,1
40,cos_center0_center1,273.25,1
41,dist_H_3_y,253.375,1
42,molecule_dist_std,181.125,1
43,linkM1,328.375,1
44,molecule_type_0_dist_z_min,185.0,1
45,rc_C,178.75,1
46,molecule_dist_mean,265.75,1
47,cos_center1,246.5,1
48,dist_H_4_y,220.5,1
49,thinness_metric,223.0,1
50,cos_center0,242.625,1
51,molecule_type_0_z_1_mean_div,211.0,1
52,distance_center1,308.5,1
53,dist_N_1_x,231.25,1
54,molecule_type_0_dist_max,228.875,1
55,molecule_type_0_dist_z_min_div,191.125,1
56,cos_f0_f1,319.625,1
57,dist_N_0_x,176.75,1
58,rc_B,166.5,1
59,molecule_type_0_dist_x_min,183.5,1
60,freqs_mean,189.0,1
61,molecule_type_0_dist_z_std,209.375,1
62,molecule_atom_index_0_z_1_mean_div,264.875,1
63,molecule_type_0_dist_y_mean,206.25,1
64,type,0.0,1
0,mulliken_atom_0,512.875,2
1,adC2,492.25,2
2,dist_O_0_x,227.25,2
3,mu,239.5,2
4,adC1,440.375,2
5,bond_angle_axis,256.375,2
6,dist_C_3_y,203.5,2
7,linkM0,440.25,2
8,dist_C_4_y,230.5,2
9,dist_O_0_y,207.25,2
10,dist_C_3_x,241.0,2
11,adC3,502.375,2
12,dist_C_4_x,235.875,2
13,inv_dist1R,508.875,2
14,bond_angle_plane,323.125,2
15,homo,232.875,2
16,mulliken_max,248.5,2
17,dist_H_4_x,269.25,2
18,lumo,212.375,2
19,gap,240.25,2
20,molecule_type_0_dist_x_std,166.375,2
21,dist_H_1_x,297.875,2
22,freqs_min,213.0,2
23,dist_N_0_y,259.875,2
24,dist_H_3_x,241.625,2
25,distance_center0,245.375,2
26,cos_c0_f0,436.75,2
27,adH1,378.75,2
28,rc_A,261.75,2
29,mulliken_atom_1,385.75,2
30,molecule_type_0_dist_x_max,216.0,2
31,molecule_dist_max,211.5,2
32,alpha,174.25,2
33,dist_C_2_y,203.375,2
34,dist_H_2_x,247.875,2
35,vander_C.y,403.25,2
36,roundness_metric,165.125,2
37,dist_C_2_x,214.75,2
38,freqs_max,256.5,2
39,min_molecule_atom_1_dist_xyz,521.25,2
40,cos_center0_center1,269.125,2
41,dist_H_3_y,267.625,2
42,molecule_dist_std,172.625,2
43,linkM1,319.0,2
44,molecule_type_0_dist_z_min,177.25,2
45,rc_C,173.25,2
46,molecule_dist_mean,264.875,2
47,cos_center1,235.25,2
48,dist_H_4_y,210.75,2
49,thinness_metric,235.125,2
50,cos_center0,245.25,2
51,molecule_type_0_z_1_mean_div,211.875,2
52,distance_center1,300.125,2
53,dist_N_1_x,230.375,2
54,molecule_type_0_dist_max,230.5,2
55,molecule_type_0_dist_z_min_div,194.5,2
56,cos_f0_f1,314.0,2
57,dist_N_0_x,161.875,2
58,rc_B,161.625,2
59,molecule_type_0_dist_x_min,194.5,2
60,freqs_mean,181.375,2
61,molecule_type_0_dist_z_std,209.125,2
62,molecule_atom_index_0_z_1_mean_div,256.75,2
63,molecule_type_0_dist_y_mean,200.5,2
64,type,0.0,2
0,mulliken_atom_0,518.375,3
1,adC2,488.5,3
2,dist_O_0_x,239.75,3
3,mu,239.375,3
4,adC1,438.5,3
5,bond_angle_axis,264.875,3
6,dist_C_3_y,195.875,3
